"","gene","MCBB_Temporal.cortex","MCBB_Cerebellum","ROSMAP_Dorsolateral.prefrontal.cortex","MSBB_BM10","MSBB_BM22","MSBB_BM36","MSBB_BM44"
"1","ACACA",NA,NA,NA,NA,NA,NA,NA
"2","FASN",NA,NA,NA,NA,NA,NA,NA
"3","GPAM",NA,NA,NA,NA,NA,NA,NA
"4","AGPAT1",NA,NA,NA,NA,NA,NA,NA
"5","LPIN1",NA,NA,NA,NA,NA,NA,NA
"6","DGAT1",NA,NA,NA,NA,NA,NA,NA
"7","PLIN2",NA,NA,NA,NA,NA,NA,NA
"8","ABCA1",NA,NA,NA,NA,NA,NA,NA
"9","ABCA7",NA,NA,NA,NA,NA,NA,NA
"10","SREBF1",NA,NA,NA,NA,NA,NA,NA
"11","SREBF2",NA,NA,NA,NA,NA,NA,NA
"12","PNPLA2",NA,NA,NA,NA,NA,NA,NA
"13","CPT1A",NA,NA,NA,NA,NA,NA,NA
"14","ACAT1",NA,NA,NA,NA,NA,NA,NA
"15","HMGCS1",NA,NA,NA,NA,NA,NA,NA
"16","CDS1",NA,NA,NA,NA,NA,NA,NA
"17","CDS2",NA,NA,NA,NA,NA,NA,NA
"18","PLPP1",NA,NA,NA,NA,NA,NA,NA
"19","PLPP3",NA,NA,NA,NA,NA,NA,NA
"20","CDIPT",NA,NA,NA,NA,NA,NA,NA
"21","CEPT1",NA,NA,NA,NA,NA,NA,NA
"22","PTDSS1",NA,NA,NA,NA,NA,NA,NA
"23","PGS1",NA,NA,NA,NA,NA,NA,NA
